rotation_deg,origin_index,origin_fraction,buffer_multiplier,buffer_m,n_blocks,n_effective_blocks,n_predictions,n_test_intervals,n_test_holes,equal_block_mean_delta,median_block_delta,sign_concordance,leave_one_block_out_min,leave_one_block_out_max,block_resample_ci_lower_95,block_resample_ci_upper_95,block_resampling_replicates,inference_label
0.0,4,0.2,1.0,111.8912024,5,5,3542,3542,100,-0.049452373132668814,-0.058800422288163956,0.8,-0.06820259051224398,-0.03672716161859596,-0.09032269866429936,-0.007402246282991243,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,4,0.2,1.5,167.8368036,5,5,3542,3542,100,-0.023409433812654878,-0.017217426696710447,0.6,-0.03721566705109275,-0.0035744356189207904,-0.0674288189365686,0.0133101365006441,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,5,0.4,0.5,55.9456012,5,5,3542,3542,100,-0.053130016560067175,-0.05064453017437898,1.0,-0.06065763311695771,-0.04603142075502553,-0.06917245193789183,-0.03590405070214664,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,5,0.4,1.0,111.8912024,5,5,3542,3542,100,-0.049024758678854585,-0.048672864644118574,1.0,-0.055843383496636534,-0.04072282343487127,-0.06783313373040065,-0.03251930150228351,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
0.0,5,0.4,1.5,167.8368036,5,5,3542,3542,100,-0.0500075615184564,-0.04617900939789976,1.0,-0.0565671106404938,-0.040275548459062394,-0.07159213213522805,-0.03273322277734399,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,1,-0.4,0.5,55.9456012,5,5,3542,3542,100,-0.05528824826576315,-0.07004372035696349,0.8,-0.07653072713344905,-0.04482422909321704,-0.0913669091028857,-0.010156619787821296,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,1,-0.4,1.0,111.8912024,5,5,3542,3542,100,-0.055935279006159445,-0.07179628286150863,0.8,-0.07684840800227105,-0.045853124374320875,-0.09126691801872115,-0.01123634813584018,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,1,-0.4,1.5,167.8368036,5,5,3542,3542,100,-0.05858857580479211,-0.07247328669066277,0.8,-0.08024680614275309,-0.04724388983817507,-0.09588980376930296,-0.012162707348034018,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,2,-0.2,0.5,55.9456012,5,5,3542,3542,100,-0.05335697256705294,-0.057076765146988784,0.8,-0.07080937011530508,-0.040731154462482544,-0.08461792364818992,-0.01458852349020603,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,2,-0.2,1.0,111.8912024,5,5,3542,3542,100,-0.05174039212063568,-0.05624562641033615,0.8,-0.06835127209370678,-0.0398422873785364,-0.08209793721755414,-0.0147434535121024,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,2,-0.2,1.5,167.8368036,5,5,3542,3542,100,-0.05518258608418898,-0.0578749850447029,0.8,-0.07249868240484603,-0.04053878638187525,-0.0914046649539475,-0.015951460409259967,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,3,0.0,0.5,55.9456012,5,5,3542,3542,100,-0.04726975037445982,-0.04095057150968562,0.8,-0.061480341176013364,-0.026955843937261748,-0.0924043090881744,-0.010636660904821627,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,3,0.0,1.0,111.8912024,5,5,3542,3542,100,-0.05043409324768509,-0.049371335705048924,0.8,-0.06613206153064649,-0.028443280732638965,-0.09839031940665524,-0.012333866351523249,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,3,0.0,1.5,167.8368036,5,5,3542,3542,100,-0.04958139671906272,-0.047510774118888266,0.8,-0.06872331179929209,-0.024515929527339553,-0.10541380081003818,-0.0028125514864424605,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,4,0.2,0.5,55.9456012,5,5,3542,3542,100,-0.050052403593348595,-0.046396259168747456,0.8,-0.06662113418617371,-0.029965499887357916,-0.096177662882114,-0.0061193355500127385,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,4,0.2,1.0,111.8912024,5,5,3542,3542,100,-0.04804384722488151,-0.046396259168747456,0.6,-0.0627533565132457,-0.02745480442677406,-0.09398547163668444,-0.0021022228130785693,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,4,0.2,1.5,167.8368036,5,5,3542,3542,100,-0.05954602612657474,-0.045703084968517604,1.0,-0.07331453258373438,-0.03641527994231142,-0.1103289762646115,-0.016122916301221223,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,5,0.4,0.5,55.9456012,5,5,3542,3542,100,-0.05856183582170145,-0.039560754392801156,0.8,-0.08047788065949363,-0.03434429735018091,-0.1171923931536194,-0.003985727275697881,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
